Reference,Footprint,Pad,Pad type,Net
ANT1,Anticipy:2450AT18A0100001E,1,smd,RF_MATCH_B
ANT1,Anticipy:2450AT18A0100001E,2,smd,
C1,Anticipy:C_OPEN,1,smd,VBUS
C1,Anticipy:C_OPEN,2,smd,GND
C10,Anticipy:C_OPEN,1,smd,LDO2_OUT
C10,Anticipy:C_OPEN,2,smd,GND
C13,Anticipy:C_OPEN,1,smd,3V0
C13,Anticipy:C_OPEN,2,smd,GND
C14,Anticipy:C_OPEN,1,smd,VSYS
C14,Anticipy:C_OPEN,2,smd,GND
C15,Anticipy:C_OPEN,1,smd,VSYS
C15,Anticipy:C_OPEN,2,smd,GND
C16,Anticipy:C_OPEN,1,smd,VSYS
C16,Anticipy:C_OPEN,2,smd,GND
C2,Anticipy:C_OPEN,1,smd,VSYS
C2,Anticipy:C_OPEN,2,smd,GND
C3,Anticipy:C_OPEN,1,smd,VSYS
C3,Anticipy:C_OPEN,2,smd,GND
C4,Anticipy:C_OPEN,1,smd,VSYS
C4,Anticipy:C_OPEN,2,smd,GND
C5,Anticipy:C_OPEN,1,smd,VBUSOUT
C5,Anticipy:C_OPEN,2,smd,GND
C6,Anticipy:C_OPEN,1,smd,VBAT
C6,Anticipy:C_OPEN,2,smd,GND
C7,Anticipy:C_OPEN,1,smd,1V8
C7,Anticipy:C_OPEN,2,smd,GND
C8,Anticipy:C_OPEN,1,smd,3V0
C8,Anticipy:C_OPEN,2,smd,GND
C9,Anticipy:C_OPEN,1,smd,LDO1_OUT
C9,Anticipy:C_OPEN,2,smd,GND
C_RF1,Anticipy:0402_RF,1,smd,RF_FEED_TO_U1_PAD_TBD
C_RF1,Anticipy:0402_RF,2,smd,RF_MATCH_A
C_U2,Anticipy:C_OPEN,1,smd,MIC_A_VDD
C_U2,Anticipy:C_OPEN,2,smd,GND
C_U3,Anticipy:C_OPEN,1,smd,MIC_B_VDD
C_U3,Anticipy:C_OPEN,2,smd,GND
C_U4A,Anticipy:C_OPEN,1,smd,FLASH_VDD
C_U4A,Anticipy:C_OPEN,2,smd,GND
C_U4B,Anticipy:C_OPEN,1,smd,FLASH_VDD
C_U4B,Anticipy:C_OPEN,2,smd,GND
C_U6A,Anticipy:C_OPEN,1,smd,HAPTIC_REG
C_U6A,Anticipy:C_OPEN,2,smd,GND
C_U6B,Anticipy:C_OPEN,1,smd,3V0
C_U6B,Anticipy:C_OPEN,2,smd,GND
D1,Anticipy:X1SON2_DPY,1,smd,CHG_5V
D1,Anticipy:X1SON2_DPY,2,smd,GND
D2,Anticipy:LED_1608_OPEN,1,smd,STATUS_LED_A
D2,Anticipy:LED_1608_OPEN,2,smd,GND
J1,Anticipy:BATTERY_WIRE_PADS,1,smd,VBAT
J1,Anticipy:BATTERY_WIRE_PADS,2,smd,BAT_NTC
J1,Anticipy:BATTERY_WIRE_PADS,3,smd,GND
J2,Anticipy:CHARGE_PADS,1,smd,CHG_5V
J2,Anticipy:CHARGE_PADS,2,smd,GND
L1,Anticipy:CIGT201610,1,smd,SW_BUCK1
L1,Anticipy:CIGT201610,2,smd,1V8
L2,Anticipy:CIGT201610,1,smd,SW_BUCK2
L2,Anticipy:CIGT201610,2,smd,3V0
L_RF1,Anticipy:0402_RF,1,smd,RF_MATCH_A
L_RF1,Anticipy:0402_RF,2,smd,GND
L_RF2,Anticipy:0402_RF,1,smd,RF_MATCH_A
L_RF2,Anticipy:0402_RF,2,smd,RF_MATCH_B
R1,Anticipy:R_0402_OPEN,1,smd,3V0
R1,Anticipy:R_0402_OPEN,2,smd,PMIC_SDA_TO_U1_PAD_TBD
R2,Anticipy:R_0402_OPEN,1,smd,3V0
R2,Anticipy:R_0402_OPEN,2,smd,PMIC_SCL_TO_U1_PAD_TBD
R3,Anticipy:R_0402_OPEN,1,smd,VSET1
R3,Anticipy:R_0402_OPEN,2,smd,GND
R4,Anticipy:R_0402_OPEN,1,smd,VSET2
R4,Anticipy:R_0402_OPEN,2,smd,GND
R_CHG,Anticipy:R_0402_OPEN,1,smd,CHG_5V
R_CHG,Anticipy:R_0402_OPEN,2,smd,VBUS
R_FLASH_PWR,Anticipy:R_0402_OPEN,1,smd,3V0
R_FLASH_PWR,Anticipy:R_0402_OPEN,2,smd,FLASH_VDD
R_LED,Anticipy:R_0402_OPEN,1,smd,STATUS_LED_TO_U1_PAD_TBD
R_LED,Anticipy:R_0402_OPEN,2,smd,STATUS_LED_A
R_MIC_A,Anticipy:R_0402_OPEN,1,smd,3V0
R_MIC_A,Anticipy:R_0402_OPEN,2,smd,MIC_A_VDD
R_MIC_B,Anticipy:R_0402_OPEN,1,smd,3V0
R_MIC_B,Anticipy:R_0402_OPEN,2,smd,MIC_B_VDD
TP1,Anticipy:TP_0P65,1,smd,GND
TP10,Anticipy:TP_0P65,1,smd,QSPI_CS_TO_U1_PAD_TBD
TP11,Anticipy:TP_0P65,1,smd,QSPI_CLK_TO_U1_PAD_TBD
TP12,Anticipy:TP_0P65,1,smd,QSPI_IO0_TO_U1_PAD_TBD
TP13,Anticipy:TP_0P65,1,smd,QSPI_IO1_TO_U1_PAD_TBD
TP14,Anticipy:TP_0P65,1,smd,QSPI_IO2_TO_U1_PAD_TBD
TP15,Anticipy:TP_0P65,1,smd,QSPI_IO3_TO_U1_PAD_TBD
TP16,Anticipy:TP_0P65,1,smd,PDM_CLK_TO_U1_PAD_TBD
TP17,Anticipy:TP_0P65,1,smd,PDM_DATA_TO_U1_PAD_TBD
TP18,Anticipy:TP_0P65,1,smd,MIC_A_VDD
TP19,Anticipy:TP_0P65,1,smd,MIC_B_VDD
TP2,Anticipy:TP_0P65,1,smd,CHG_5V
TP20,Anticipy:TP_0P65,1,smd,PMIC_SDA_TO_U1_PAD_TBD
TP21,Anticipy:TP_0P65,1,smd,PMIC_SCL_TO_U1_PAD_TBD
TP22,Anticipy:TP_0P65,1,smd,HAPTIC_SDA_TO_U1_PAD_TBD
TP23,Anticipy:TP_0P65,1,smd,HAPTIC_SCL_TO_U1_PAD_TBD
TP24,Anticipy:TP_0P65,1,smd,HAPTIC_EN_TO_U1_PAD_TBD
TP25,Anticipy:TP_0P65,1,smd,HAPTIC_REG
TP26,Anticipy:TP_0P65,1,smd,HAPTIC_OUT_P
TP27,Anticipy:TP_0P65,1,smd,HAPTIC_OUT_M
TP28,Anticipy:TP_0P65,1,smd,BUTTON_TO_U1_PAD_TBD
TP29,Anticipy:TP_0P65,1,smd,STATUS_LED_TO_U1_PAD_TBD
TP3,Anticipy:TP_0P65,1,smd,VBUS
TP30,Anticipy:TP_0P65,1,smd,SWDIO_TO_U1_PAD_TBD
TP31,Anticipy:TP_0P65,1,smd,SWCLK_TO_U1_PAD_TBD
TP32,Anticipy:TP_0P65,1,smd,RESET_TO_U1_PAD_TBD
TP33,Anticipy:TP_0P65,1,smd,UART_TX_TO_U1_PAD_TBD
TP34,Anticipy:TP_0P65,1,smd,UART_RX_TO_U1_PAD_TBD
TP4,Anticipy:TP_0P65,1,smd,VBAT
TP5,Anticipy:TP_0P65,1,smd,BAT_NTC
TP6,Anticipy:TP_0P65,1,smd,VSYS
TP7,Anticipy:TP_0P65,1,smd,1V8
TP8,Anticipy:TP_0P65,1,smd,3V0
TP9,Anticipy:TP_0P65,1,smd,FLASH_VDD
U2,Anticipy:IM69D128S,1,smd,MIC_A_VDD
U2,Anticipy:IM69D128S,2,smd,PDM_CLK_TO_U1_PAD_TBD
U2,Anticipy:IM69D128S,3,smd,PDM_DATA_TO_U1_PAD_TBD
U2,Anticipy:IM69D128S,4,smd,GND
U2,Anticipy:IM69D128S,5,smd,GND
U2,Anticipy:IM69D128S,,np_thru_hole,
U3,Anticipy:IM69D128S,1,smd,MIC_B_VDD
U3,Anticipy:IM69D128S,2,smd,PDM_CLK_TO_U1_PAD_TBD
U3,Anticipy:IM69D128S,3,smd,PDM_DATA_TO_U1_PAD_TBD
U3,Anticipy:IM69D128S,4,smd,3V0
U3,Anticipy:IM69D128S,5,smd,GND
U3,Anticipy:IM69D128S,,np_thru_hole,
U4,Anticipy:WSON8_8x6_W25N04KV,1,smd,QSPI_CS_TO_U1_PAD_TBD
U4,Anticipy:WSON8_8x6_W25N04KV,8,smd,FLASH_VDD
U4,Anticipy:WSON8_8x6_W25N04KV,2,smd,QSPI_IO1_TO_U1_PAD_TBD
U4,Anticipy:WSON8_8x6_W25N04KV,7,smd,QSPI_IO3_TO_U1_PAD_TBD
U4,Anticipy:WSON8_8x6_W25N04KV,3,smd,QSPI_IO2_TO_U1_PAD_TBD
U4,Anticipy:WSON8_8x6_W25N04KV,6,smd,QSPI_CLK_TO_U1_PAD_TBD
U4,Anticipy:WSON8_8x6_W25N04KV,4,smd,GND
U4,Anticipy:WSON8_8x6_W25N04KV,5,smd,QSPI_IO0_TO_U1_PAD_TBD
U4,Anticipy:WSON8_8x6_W25N04KV,9,smd,GND
U5,Anticipy:WLCSP35_nPM1300_CAAA,A1,smd,PMIC_LED0
U5,Anticipy:WLCSP35_nPM1300_CAAA,A2,smd,PMIC_LED1
U5,Anticipy:WLCSP35_nPM1300_CAAA,A3,smd,PMIC_LED2
U5,Anticipy:WLCSP35_nPM1300_CAAA,A4,smd,LDO1_OUT
U5,Anticipy:WLCSP35_nPM1300_CAAA,A5,smd,LDO2_OUT
U5,Anticipy:WLCSP35_nPM1300_CAAA,A6,smd,GND
U5,Anticipy:WLCSP35_nPM1300_CAAA,A7,smd,GND
U5,Anticipy:WLCSP35_nPM1300_CAAA,B1,smd,VBUS
U5,Anticipy:WLCSP35_nPM1300_CAAA,B2,smd,VBUS
U5,Anticipy:WLCSP35_nPM1300_CAAA,B3,smd,CC2_NC
U5,Anticipy:WLCSP35_nPM1300_CAAA,B4,smd,1V8
U5,Anticipy:WLCSP35_nPM1300_CAAA,B5,smd,3V0
U5,Anticipy:WLCSP35_nPM1300_CAAA,B6,smd,1V8
U5,Anticipy:WLCSP35_nPM1300_CAAA,B7,smd,SW_BUCK1
U5,Anticipy:WLCSP35_nPM1300_CAAA,C1,smd,VSYS
U5,Anticipy:WLCSP35_nPM1300_CAAA,C2,smd,VSYS
U5,Anticipy:WLCSP35_nPM1300_CAAA,C3,smd,VBUSOUT
U5,Anticipy:WLCSP35_nPM1300_CAAA,C4,smd,PMIC_GPIO3_TO_U1_PAD_TBD
U5,Anticipy:WLCSP35_nPM1300_CAAA,C5,smd,PMIC_GPIO2_TO_U1_PAD_TBD
U5,Anticipy:WLCSP35_nPM1300_CAAA,C6,smd,3V0
U5,Anticipy:WLCSP35_nPM1300_CAAA,C7,smd,VSYS
U5,Anticipy:WLCSP35_nPM1300_CAAA,D1,smd,VBAT
U5,Anticipy:WLCSP35_nPM1300_CAAA,D2,smd,VBAT
U5,Anticipy:WLCSP35_nPM1300_CAAA,D3,smd,BAT_NTC
U5,Anticipy:WLCSP35_nPM1300_CAAA,D4,smd,SHPHLD
U5,Anticipy:WLCSP35_nPM1300_CAAA,D5,smd,CC1_NC
U5,Anticipy:WLCSP35_nPM1300_CAAA,D6,smd,PMIC_GPIO0_TO_U1_PAD_TBD
U5,Anticipy:WLCSP35_nPM1300_CAAA,D7,smd,SW_BUCK2
U5,Anticipy:WLCSP35_nPM1300_CAAA,E1,smd,VSET2
U5,Anticipy:WLCSP35_nPM1300_CAAA,E2,smd,VSET1
U5,Anticipy:WLCSP35_nPM1300_CAAA,E3,smd,PMIC_SCL_TO_U1_PAD_TBD
