priority,supplier,quantity,exact_part,checked_price_cad,checked_state_2026-08-29,source,purpose
1,DigiKey Canada,1,Seeed Studio XIAO nRF52840 Sense 102010469,25.22,"1468 in stock; most Canadian packages normally arrive in 24 hours, checkout date controls",https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/102010469/16652896,"processor, Bluetooth, microphone, charger"
1,DigiKey Canada,1,Adafruit 5683 microSD Card BFF,4.09,"396 in stock",https://www.digikey.ca/en/products/detail/adafruit-industries-llc/5683/18073185,"20-hour offline storage"
1,BBM Battery Canada,1,602535 protected 3.7 V 500 mAh LiPo 35x25x6 mm,16.95,"add to cart; priority/overnight exists but adds a CAD 50 dangerous-goods fee plus expedited freight",https://bbmbattery.ca/products/li-po-602535-battery-3-7v-500mah-lithium-polymer-with-protection,"controlled battery modeled in CAD"
1,DigiKey Canada,1,Vybronics VCLP1020B002L 3 V haptic motor,4.69,"4649 in stock",https://www.digikey.ca/en/products/detail/vybronics-inc/VCLP1020B002L/10285888,"haptic buzz"
1,DigiKey Canada,1,B3U-1000P low-profile momentary switch,1.86,"product page stocked at time of prior check; checkout controls",https://www.digikey.ca/en/products/detail/aratas-formerly-omron-components/B3U-1000P/1534338,"user/privacy button"
1,DigiKey Canada,2,PN2222ATA NPN transistor,0.51,"stocked at prior check",https://www.digikey.ca/en/products/detail/onsemi/PN2222ATA/1047608,"switches motor safely"
1,DigiKey Canada,2,1N4148FS flyback diode,0.15,"stocked at prior check",https://www.digikey.ca/en/products/detail/onsemi/1N4148/458603,"protects electronics from motor spike"
1,DigiKey Canada,2,MFR25SFTF52-1K 1 kOhm resistor,0.15,"stocked at prior check",https://www.digikey.ca/,"transistor base resistor"
1,DigiKey Canada,2,CF14JT100K 100 kOhm resistor,0.16,"stocked at prior check",https://www.digikey.ca/,"keeps motor off at boot"
1,DigiKey Canada,2,C322C104K5R5TA 100 nF capacitor,1.73,"stocked at prior check",https://www.digikey.ca/,"motor noise suppression"
1,DigiKey Canada,2,6TPE100MAZB 100 uF low-profile capacitor,2.43,"stocked at prior check",https://www.digikey.ca/en/products/detail/panasonic-industry/6TPE100MAZB/4146628,"prevents haptic brownout"
1,Canada Computers Vancouver,1,TEAMGROUP 32 GB microSDHC TUSDH32GCL10U03,13.99,"six previously shown locally; reserve pickup before travel",https://www.canadacomputers.com/en/microsd-cards/249848/teamgroup-32gb-microsdhc-uhs-i-u1-tusdh32gcl10u03.html,"storage card; 1750 West Broadway"
1,Lee's Electronic Components,1 pack,M1.4 x 5 mm flat self-tapping screws 100-pack,3.00,"listed locally; reserve before travel",https://leeselectronic.com/,"lid screws; never use longer screws"
1,DigiKey Canada,1 each,30 AWG silicone wire in four colours,4.48,"stocked at prior check",https://www.digikey.ca/,"small flexible wiring"
1,DigiKey Canada,1 ft each,1/16 and 3/16 heat-shrink tubing,3.48,"stocked at prior check",https://www.digikey.ca/,"insulates every solder joint"
2,Michaels or Instacart,1,Creatology 9 x 12 inch adhesive foam sheet item 10032002,0.99,"same-day delivery/pickup offered; local stock must be selected",https://canada.michaels.com/product/9-x-12-adhesive-foam-sheet-by-creatology-10032002,"soft anti-rattle shims; use small pieces only"
2,Amazon Canada or local electronics shop,1 roll,10 mm polyimide/Kapton tape,12.00,"choose only a listing showing next-day delivery",https://www.amazon.ca/s?k=10mm+polyimide+kapton+tape,"secondary retention and electrical insulation"
2,Local tool shop,1 set,"digital caliper, flush cutters, fine-tip temperature-controlled soldering iron, 0.5 mm solder, no-clean flux, multimeter, eye protection",100.00,"buy only missing tools; adult use",,"assembly and inspection"

