priority,supplier,quantity,manufacturer_part_number,description,checked_price,currency,source,checkout_note
1,Seeed Studio official,2 packs,102010570,"Seeed XIAO nRF52840 Sense; 3 boards per pack",80.82,USD,https://www.seeedstudio.com/Seeed-Studio-XIAO-nRF52840-Sense-3PCS-p-5922.html,"Six boards total; page showed in stock on 2026-08-28; checkout delivery controls"
1,DigiKey Canada,6,5683,"Adafruit microSD BFF",24.54,CAD,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/5683/18073185,"Default CS is XIAO D6/P1.11"
1,DigiKey,6,LP502030JH+PCM+2-WIRES-50MM,"Jauch protected 3.7 V 250 mAh LiPo; 32 x 21 x 5.4 mm",66.36,USD,https://www.digikey.com/en/products/detail/jauch-quartz/LP502030JH-PCM-2-WIRES-50MM/9560976,"Lithium ground freight; buy only if checkout date works"
1,DigiKey Canada,6,VCLP1020B002L,"Vybronics 3 V low-current haptic motor",24.90,CAD,https://www.digikey.ca/en/products/detail/vybronics-inc/VCLP1020B002L/10285888,"One per unit plus one spare"
1,DigiKey Canada,6,B3U-1000P,"Aratas low-profile user button",11.16,CAD,https://www.digikey.ca/en/products/detail/aratas-formerly-omron-components/B3U-1000P/1534338,"Wire D7/P1.12 to GND"
1,DigiKey Canada,25,AO3416,"N-channel MOSFET for haptic",13.85,CAD,https://www.digikey.ca/en/products/detail/alpha-omega-semiconductor-inc/AO3416/1855783,"D0/P0.02 drives gate through 100 ohm"
1,DigiKey Canada,25,1N5819HW-7-F,"Haptic flyback diode",5.82,CAD,https://www.digikey.ca/en/products/detail/diodes-incorporated/1N5819HW-7-F/814970,"Stripe/cathode goes to 3.3 V"
1,DigiKey Canada,25,RC0805FR-07100RL,"100 ohm gate resistor",1.02,CAD,https://www.digikey.ca/en/products/detail/yageo/RC0805FR-07100RL/727543,""
1,DigiKey Canada,25,RC0805FR-07100KL,"100 kohm gate pulldown",1.08,CAD,https://www.digikey.ca/en/products/detail/yageo/RC0805FR-07100KL/727544,""
1,DigiKey Canada,20,CL32A476MQJNNWE,"47 uF motor supply capacitor",12.92,CAD,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL32A476MQJNNWE/3889040,"Place beside motor power"
1,DigiKey Canada,25,C0805C104K5RACTU,"0.1 uF motor suppression capacitor",3.38,CAD,https://www.digikey.ca/en/products/detail/kemet/C0805C104K5RACTU/411169,"Place across motor"
1,DigiKey Canada,4 rolls,2001-2004,"30 AWG silicone wire; four colours",4.48,CAD,https://www.digikey.ca/,""
1,Canada Computers local pickup,6,TUSDH32GCL10U03,"TEAMGROUP 32 GB microSDHC",83.94,CAD,https://www.canadacomputers.com/en/microsd-cards/249848/teamgroup-32gb-microsdhc-uhs-i-u1-tusdh32gcl10u03.html,"Reserve before travel; split-store pickup may be needed"
2,Local hardware,1 set,NA,"3M 9495LE; PORON 4701-30; neutral-cure RTV; polyimide tape; 0.20-0.25 mm PET electrical insulation; 0.5 mm tinned solid copper wire; 1.0/1.5 mm heat-shrink; 0.6-0.7 mm pin drill; digital calipers; M1.4x5 screws; solder; flux; fine tweezers; flush cutters",120.00,CAD,NA,"Allowance; exact local cart and stock still required"
2,Local tools if not owned,1 set,NA,"Temperature-controlled fine-tip soldering iron; digital multimeter; eye protection; nonflammable LiPo work surface",100.00,CAD,NA,"Adult-supervised bench tools; do not buy again if already owned"
