sequence,orientation_id,kind,target_vector_body_xyz_mm,pose_key_stl,device_center_above_key_bottom_mm,complete,impact_angle_error_deg,result,notes
1,F_XP,face,25.500;0.000;0.000,stl/drop_pose_key_01_F_XP.stl,40.0,,,,
2,F_XM,face,-25.500;0.000;0.000,stl/drop_pose_key_02_F_XM.stl,40.0,,,,
3,F_YP,face,0.000;10.500;0.000,stl/drop_pose_key_03_F_YP.stl,40.0,,,,
4,F_YM,face,0.000;-10.500;0.000,stl/drop_pose_key_04_F_YM.stl,40.0,,,,
5,F_ZP,face,0.000;0.000;5.500,stl/drop_pose_key_05_F_ZP.stl,40.0,,,,
6,F_ZM,face,0.000;0.000;-5.500,stl/drop_pose_key_06_F_ZM.stl,40.0,,,,
7,E_XP_YP,edge,25.500;10.500;0.000,stl/drop_pose_key_07_E_XP_YP.stl,40.0,,,,
8,E_XP_YM,edge,25.500;-10.500;0.000,stl/drop_pose_key_08_E_XP_YM.stl,40.0,,,,
9,E_XM_YP,edge,-25.500;10.500;0.000,stl/drop_pose_key_09_E_XM_YP.stl,40.0,,,,
10,E_XM_YM,edge,-25.500;-10.500;0.000,stl/drop_pose_key_10_E_XM_YM.stl,40.0,,,,
11,E_XP_ZP,edge,25.500;0.000;5.500,stl/drop_pose_key_11_E_XP_ZP.stl,40.0,,,,
12,E_XP_ZM,edge,25.500;0.000;-5.500,stl/drop_pose_key_12_E_XP_ZM.stl,40.0,,,,
13,E_XM_ZP,edge,-25.500;0.000;5.500,stl/drop_pose_key_13_E_XM_ZP.stl,40.0,,,,
14,E_XM_ZM,edge,-25.500;0.000;-5.500,stl/drop_pose_key_14_E_XM_ZM.stl,40.0,,,,
15,E_YP_ZP,edge,0.000;10.500;5.500,stl/drop_pose_key_15_E_YP_ZP.stl,40.0,,,,
16,E_YP_ZM,edge,0.000;10.500;-5.500,stl/drop_pose_key_16_E_YP_ZM.stl,40.0,,,,
17,E_YM_ZP,edge,0.000;-10.500;5.500,stl/drop_pose_key_17_E_YM_ZP.stl,40.0,,,,
18,E_YM_ZM,edge,0.000;-10.500;-5.500,stl/drop_pose_key_18_E_YM_ZM.stl,40.0,,,,
19,C_XP_YP_ZP,corner,25.500;10.500;5.500,stl/drop_pose_key_19_C_XP_YP_ZP.stl,40.0,,,,
20,C_XP_YP_ZM,corner,25.500;10.500;-5.500,stl/drop_pose_key_20_C_XP_YP_ZM.stl,40.0,,,,
21,C_XP_YM_ZP,corner,25.500;-10.500;5.500,stl/drop_pose_key_21_C_XP_YM_ZP.stl,40.0,,,,
22,C_XP_YM_ZM,corner,25.500;-10.500;-5.500,stl/drop_pose_key_22_C_XP_YM_ZM.stl,40.0,,,,
23,C_XM_YP_ZP,corner,-25.500;10.500;5.500,stl/drop_pose_key_23_C_XM_YP_ZP.stl,40.0,,,,
24,C_XM_YP_ZM,corner,-25.500;10.500;-5.500,stl/drop_pose_key_24_C_XM_YP_ZM.stl,40.0,,,,
25,C_XM_YM_ZP,corner,-25.500;-10.500;5.500,stl/drop_pose_key_25_C_XM_YM_ZP.stl,40.0,,,,
26,C_XM_YM_ZM,corner,-25.500;-10.500;-5.500,stl/drop_pose_key_26_C_XM_YM_ZM.stl,40.0,,,,
