reference,value,pad,net,x_mm,y_mm,side
BT1,LiPo_1S_PROTECTED_NTC,3,GND,45.8500,37.6000,F
BT1,LiPo_1S_PROTECTED_NTC,2,NTC,44.6000,37.6000,F
BT1,LiPo_1S_PROTECTED_NTC,1,VBAT,43.3500,37.6000,F
C1,1uF 16V X7R,1,VBUS,36.8250,29.1000,F
C1,1uF 16V X7R,2,GND,38.3750,29.1000,F
C10,10uF 10V X5R,1,3V_MIC,30.8000,24.7750,F
C10,10uF 10V X5R,2,GND,30.8000,23.2250,F
C11,10uF 10V X5R,1,VSYS,32.6000,24.7750,F
C11,10uF 10V X5R,2,GND,32.6000,23.2250,F
C12,10uF 10V X5R,1,LDO2_OUT,34.4000,24.7750,F
C12,10uF 10V X5R,2,GND,34.4000,23.2250,F
C13,100nF 6.3V X7R,1,3V_MAIN,34.3200,34.1000,F
C13,100nF 6.3V X7R,2,GND,35.2800,34.1000,F
C14,100nF 6.3V X7R C0402C104M4RAC7867,1,VSYS,27.2000,28.4800,B
C14,100nF 6.3V X7R C0402C104M4RAC7867,2,GND,27.2000,27.5200,B
C15,100nF 6.3V X7R C0402C104M4RAC7867,1,VSYS,27.2000,30.4800,B
C15,100nF 6.3V X7R C0402C104M4RAC7867,2,GND,27.2000,29.5200,B
C16,100nF 6.3V X7R C0402C104M4RAC7867,1,VSYS,27.2000,32.4800,B
C16,100nF 6.3V X7R C0402C104M4RAC7867,2,GND,27.2000,31.5200,B
C17,1uF MIC BYPASS,1,3V_MIC,39.8250,21.0000,F
C17,1uF MIC BYPASS,2,GND,41.3750,21.0000,F
C18,1uF MIC BYPASS,1,3V_MIC,53.3250,22.2000,F
C18,1uF MIC BYPASS,2,GND,54.8750,22.2000,F
C19,10uF MCU BULK,1,3V_MAIN,50.2250,35.9000,F
C19,10uF MCU BULK,2,GND,51.7750,35.9000,F
C2,10uF 10V X5R,1,VSYS,27.0250,23.2000,F
C2,10uF 10V X5R,2,GND,28.5750,23.2000,F
C20,100nF ACC BYPASS,1,3V_MAIN,50.2200,37.2000,F
C20,100nF ACC BYPASS,2,GND,51.1800,37.2000,F
C21,47uF SD BULK,1,3V_SD,39.5500,38.0000,B
C21,47uF SD BULK,2,GND,37.6500,38.0000,B
C22,100nF SD BYPASS,1,3V_SD,35.8800,38.0000,B
C22,100nF SD BYPASS,2,GND,34.9200,38.0000,B
