reference,value,pad,net,x_mm,y_mm,side
BT1,PROVISIONAL <=26x15.5x4.8mm PROTECTED 10kNTC,3,GND,54.4000,30.0700,B
BT1,PROVISIONAL <=26x15.5x4.8mm PROTECTED 10kNTC,2,NTC,54.4000,28.8000,B
BT1,PROVISIONAL <=26x15.5x4.8mm PROTECTED 10kNTC,1,VBAT,54.4000,27.5300,B
C1,1uF 16V X7R,1,VBUS,29.5000,30.8000,F
C1,1uF 16V X7R,2,GND,29.5000,29.2500,F
C10,10uF 25V X5R,1,3V_MIC,34.6000,34.8750,F
C10,10uF 25V X5R,2,GND,34.6000,33.3250,F
C13,100nF 16V X5R,,,35.8000,24.9450,F
C13,100nF 16V X5R,,,35.8000,24.2550,F
C13,100nF 16V X5R,1,3V_MAIN,35.8000,24.9200,F
C13,100nF 16V X5R,2,GND,35.8000,24.2800,F
C14,100nF 16V X7R,1,VSYS,39.1450,31.9000,F
C14,100nF 16V X7R,2,PVSS1,40.1050,31.9000,F
C15,100nF 16V X7R,1,VSYS,39.1450,25.8000,F
C15,100nF 16V X7R,2,PVSS2,40.1050,25.8000,F
C16,100nF 16V X7R,1,VSYS,30.7500,28.1550,F
C16,100nF 16V X7R,2,GND,30.7500,27.1950,F
C17,100nF 10V X7R,1,3V_FLASH,53.2500,31.7300,F
C17,100nF 10V X7R,2,GND,53.2500,30.7700,F
C18,1uF 16V X7R,1,3V_FLASH,53.3000,29.5750,F
C18,1uF 16V X7R,2,GND,53.3000,28.0250,F
C19,100nF 10V X7R,1,3V_MIC,44.8200,26.8000,F
C19,100nF 10V X7R,2,GND,45.7800,26.8000,F
C2,10uF 25V X5R,1,VSYS,40.0250,30.9250,F
C2,10uF 25V X5R,2,PVSS1,40.0250,29.3750,F
C20,100nF 10V X7R,1,3V_MIC,49.6200,26.8000,F
C20,100nF 10V X7R,2,GND,50.5800,26.8000,F
C21,100nF 16V X5R,,,49.4550,38.2000,F
C21,100nF 16V X5R,,,50.1450,38.2000,F
C21,100nF 16V X5R,1,3V_MAIN,49.4800,38.2000,F
C21,100nF 16V X5R,2,GND,50.1200,38.2000,F
C22,100nF 10V X7R,1,3V_MAIN,39.5200,36.8000,F
C22,100nF 10V X7R,2,HAPTIC_NEG,40.4800,36.8000,F
C23,47uF 6.3V X5R,1,3V_MAIN,36.3500,36.8000,F
C23,47uF 6.3V X5R,2,GND,38.2500,36.8000,F
C24,10uF 25V X5R,1,3V_MAIN,53.3500,37.3750,F
C24,10uF 25V X5R,2,GND,53.3500,35.8250,F
C25,10uF 6.3V X5R,1,3V_MAIN,58.0200,38.0000,F
C25,10uF 6.3V X5R,2,GND,58.9800,38.0000,F
C26,10uF 6.3V X5R,1,VBUSOUT,63.0200,38.0000,F
