reference,value,pad,net,x_mm,y_mm,side
BT1,LiPo_1S_PROTECTED_NTC,3,GND,46.2500,37.4000,F
BT1,LiPo_1S_PROTECTED_NTC,2,NTC,45.0000,37.4000,F
BT1,LiPo_1S_PROTECTED_NTC,1,VBAT,43.7500,37.4000,F
C1,1uF 16V X7R,1,VBUS,34.9250,29.0000,F
C1,1uF 16V X7R,2,GND,36.4750,29.0000,F
C10,10uF 10V X5R,1,3V_MIC,30.8000,24.7750,F
C10,10uF 10V X5R,2,GND,30.8000,23.2250,F
C11,10uF 10V X5R,1,VSYS,32.6000,24.7750,F
C11,10uF 10V X5R,2,GND,32.6000,23.2250,F
C12,10uF 10V X5R,1,LDO2_OUT,34.4000,24.7750,F
C12,10uF 10V X5R,2,GND,34.4000,23.2250,F
C13,100nF 6.3V X7R,1,3V_MAIN,34.3200,34.1000,F
C13,100nF 6.3V X7R,2,GND,35.2800,34.1000,F
C14,100nF 6.3V X7R C0402C104M4RAC7867,1,VSYS,27.2000,27.5200,B
C14,100nF 6.3V X7R C0402C104M4RAC7867,2,GND,27.2000,28.4800,B
C15,100nF 6.3V X7R C0402C104M4RAC7867,1,VSYS,27.2000,29.5200,B
C15,100nF 6.3V X7R C0402C104M4RAC7867,2,GND,27.2000,30.4800,B
C16,100nF 6.3V X7R C0402C104M4RAC7867,1,VSYS,27.2000,31.5200,B
C16,100nF 6.3V X7R C0402C104M4RAC7867,2,GND,27.2000,32.4800,B
C17,1uF MIC BYPASS,1,3V_MIC,40.0250,22.3000,F
C17,1uF MIC BYPASS,2,GND,41.5750,22.3000,F
C18,1uF MIC BYPASS,1,3V_MIC,53.0250,22.3000,F
C18,1uF MIC BYPASS,2,GND,54.5750,22.3000,F
C19,10uF MCU BULK,1,3V_MAIN,53.0250,35.8000,F
C19,10uF MCU BULK,2,GND,54.5750,35.8000,F
C2,10uF 10V X5R,1,VSYS,27.0000,28.0750,F
C2,10uF 10V X5R,2,GND,27.0000,26.5250,F
C20,100nF ACC BYPASS,1,3V_MAIN,49.5200,36.1000,F
C20,100nF ACC BYPASS,2,GND,50.4800,36.1000,F
C21,47uF SD BULK,1,3V_SD,37.4500,38.0000,B
C21,47uF SD BULK,2,GND,39.3500,38.0000,B
C22,100nF SD BYPASS,1,3V_SD,35.3200,38.0000,B
C22,100nF SD BYPASS,2,GND,36.2800,38.0000,B
C23,100nF MOTOR,1,3V_MAIN,38.5200,35.2000,F
C23,100nF MOTOR,2,HAPTIC_NEG,39.4800,35.2000,F
C24,47uF MOTOR BULK,1,3V_MAIN,32.1500,38.0000,B
C24,47uF MOTOR BULK,2,GND,34.0500,38.0000,B
C3,10uF 10V X5R,1,VSYS,29.0000,29.2250,B
C3,10uF 10V X5R,2,GND,29.0000,30.7750,B
C4,10uF 10V X5R,1,VSYS,27.0000,33.4750,F
C4,10uF 10V X5R,2,GND,27.0000,31.9250,F
C5,1uF 10V X7R,1,VBUSOUT,34.9250,31.0000,F
C5,1uF 10V X7R,2,GND,36.4750,31.0000,F
C6,2.2uF 16V X7R EMK107BB7225KA-T,1,VBAT,30.4250,30.0000,B
C6,2.2uF 16V X7R EMK107BB7225KA-T,2,GND,31.9750,30.0000,B
C7,10uF 10V X5R,1,3V_MAIN,39.5000,27.9750,F
C7,10uF 10V X5R,2,GND,39.5000,26.4250,F
C8,10uF 10V X5R,1,3V_SD,39.5000,33.5750,F
C8,10uF 10V X5R,2,GND,39.5000,32.0250,F
C9,10uF 10V X5R,1,VSYS,29.0000,24.7750,F
C9,10uF 10V X5R,2,GND,29.0000,23.2250,F
D1,1N4148W-HF,1,HAPTIC_NEG,39.1500,37.0000,F
D1,1N4148W-HF,2,3V_MAIN,41.2500,37.0000,F
J1,USB4105-GF-A,,,23.2050,27.1100,F
J1,USB4105-GF-A,,,23.2050,32.8900,F
J1,USB4105-GF-A,A1,GND,24.2800,26.8000,F
J1,USB4105-GF-A,A4,VBUS,24.2800,27.6000,F
J1,USB4105-GF-A,A5,USB_CC1,24.2800,28.7500,F
J1,USB4105-GF-A,A6,USB_D+,24.2800,29.7500,F
J1,USB4105-GF-A,A7,USB_D-,24.2800,30.2500,F
J1,USB4105-GF-A,A8,,24.2800,31.2500,F
J1,USB4105-GF-A,A9,VBUS,24.2800,32.4000,F
J1,USB4105-GF-A,A12,GND,24.2800,33.2000,F
J1,USB4105-GF-A,B1,GND,24.2800,33.2000,F
J1,USB4105-GF-A,B4,VBUS,24.2800,32.4000,F
J1,USB4105-GF-A,B5,USB_CC2,24.2800,31.7500,F
J1,USB4105-GF-A,B6,USB_D+,24.2800,30.7500,F
