label,net,layer,segments,vias,width_mm,length_mm,length_group
J1_8_TO_U4_1,USB_D+,F.Cu,2,0,0.127,1.1907,
J1_5_TO_U4_2,USB_D-,F.Cu,2,0,0.127,1.1907,
J1_7_BRANCH,USB_D-,F.Cu,1,0,0.127,0.35,
J1_7_SMALL_VIA,USB_D-,F.Cu-B.Cu,0,1,0.36,0.0,small_via
J1_6_BRANCH,USB_D+,F.Cu,1,0,0.127,0.5,
J1_6_SMALL_VIA,USB_D+,F.Cu-B.Cu,0,1,0.36,0.0,small_via
U4_DPLUS_ESCAPE,USB_D+,F.Cu,2,0,0.127,1.0968,D+
U4_DMINUS_ESCAPE,USB_D-,F.Cu,2,0,0.127,1.0968,D-
DPLUS_ESCAPE_VIA,USB_D+,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
DMINUS_ESCAPE_VIA,USB_D-,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
J1_6_CROSSOVER,USB_D+,B.Cu,5,0,0.127,4.9142,
J1_7_CROSSOVER,USB_D-,In2.Cu,5,0,0.127,4.1249,
DPLUS_PAIR_ENTRY,USB_D+,In2.Cu,3,0,0.127,4.5355,D+
DMINUS_PAIR_ENTRY,USB_D-,In2.Cu,3,0,0.127,3.4612,D-
DPLUS_LONG_PAIR,USB_D+,In2.Cu,4,0,0.127,29.1095,D+
DPLUS_RIGHT_LAYER_VIA,USB_D+,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
DPLUS_RIGHT_B_FANOUT,USB_D+,B.Cu,2,0,0.127,3.9701,D+
DMINUS_LONG_PAIR,USB_D-,In2.Cu,14,0,0.127,35.014,D-
DPLUS_R10_INPUT_VIA,USB_D+,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
DMINUS_R11_INPUT_VIA,USB_D-,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
DPLUS_TO_R10,USB_D+,F.Cu,1,0,0.127,0.65,D+
DMINUS_TO_R11,USB_D-,F.Cu,1,0,0.127,0.65,D-
R10_OUTPUT_ESCAPE,USB_MCU_D+,F.Cu,1,0,0.127,0.65,D+
R11_OUTPUT_ESCAPE,USB_MCU_D-,F.Cu,1,0,0.127,0.65,D-
R10_OUTPUT_VIA,USB_MCU_D+,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
R11_OUTPUT_VIA,USB_MCU_D-,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
DPLUS_MCU_INNER,USB_MCU_D+,B.Cu,2,0,0.127,3.3616,D+
DMINUS_MCU_INNER,USB_MCU_D-,B.Cu,4,0,0.127,2.5017,D-
DPLUS_U1_VIA,USB_MCU_D+,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
DMINUS_U1_VIA,USB_MCU_D-,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
DPLUS_TO_U1,USB_MCU_D+,F.Cu,1,0,0.127,1.7,D+
DMINUS_TO_U1,USB_MCU_D-,F.Cu,1,0,0.127,1.7,D-
CC2_J1_TO_U6,USB_CC2,F.Cu,5,0,0.15,5.5278,
CC2_U6_TO_U2,USB_CC2,F.Cu,5,0,0.15,11.8868,
CC1_J1_ESCAPE,USB_CC1,F.Cu,1,0,0.15,0.8,
CC1_SOURCE_VIA,USB_CC1,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
CC1_U6_ESCAPE,USB_CC1,F.Cu,1,0,0.15,0.6,
CC1_U6_VIA,USB_CC1,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
CC1_B_TRUNK,USB_CC1,B.Cu,7,0,0.15,23.2178,
CC1_TARGET_BRANCH,USB_CC1,B.Cu,1,0,0.15,1.05,
CC1_TARGET_VIA,USB_CC1,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
CC1_TO_U2,USB_CC1,F.Cu,1,0,0.15,0.9125,
VBUS_TOP_VIA,VBUS,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
VBUS_BOTTOM_VIA,VBUS,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
VBUS_LOCAL_JUNCTION,VBUS,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
VBUS_U2_VIA,VBUS,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
VBUS_J1_TOP,VBUS,F.Cu,1,0,0.3,0.6,
VBUS_J1_BOTTOM,VBUS,F.Cu,1,0,0.3,0.6,
VBUS_D2_TAP,VBUS,F.Cu,2,0,0.3,0.845,
VBUS_C1_ESCAPE,VBUS,F.Cu,2,0,0.3,0.8657,
VBUS_U2_ESCAPE,VBUS,F.Cu,1,0,0.3,0.6125,
VBUS_BOTTOM_B_TRUNK,VBUS,B.Cu,5,0,0.3,6.1314,
VBUS_TOP_B_TRUNK,VBUS,B.Cu,3,0,0.3,5.0192,
VBUS_INNER_TO_U2,VBUS,In2.Cu,1,0,0.3,1.95,
J1_TOP_GND_VIA,GND,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
J1_BOTTOM_GND_VIA,GND,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
U6_GND_VIA,GND,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
D2_GND_VIA,GND,F.Cu-B.Cu,0,1,0.45,0.0,standard_via
J1_PAD12_GND,GND,F.Cu,1,0,0.3,0.6,
J1_PAD1_GND,GND,F.Cu,1,0,0.3,0.6,
U4_TO_C1_GND,GND,F.Cu,6,0,0.3,4.7892,
U6_GND_ESCAPE,GND,F.Cu,2,0,0.3,1.6071,
D2_GND_ESCAPE,GND,F.Cu,1,0,0.3,1.0607,
