index,status,label,net,source,destination,layers,segments,vias,max_width_mm,length_mm,unconnected_before,unconnected_after,proposed_drc,geometry,rationale
1,ACCEPT,BUCK_VSYS_TO_C2,VSYS,U2.4,C2.1,F.Cu,4,0,0.3,2.6050,171,170,0,"F.Cu:37.6375,28.8500->38.2250,28.8500@0.150;F.Cu:38.2250,28.8500->38.7500,29.3750@0.150;F.Cu:38.7500,29.3750->39.1500,29.3750@0.150;F.Cu:39.1500,29.3750->40.0250,29.3750@0.300","Short top-copper Buck-1 VSYS input neck, widened at C2"
2,ACCEPT,BUCK_VSYS_TO_C3,VSYS,U2.4 branch,C3.1,F.Cu,3,0,0.3,2.0175,170,169,0,"F.Cu:38.2250,28.8500->38.7500,28.3250@0.150;F.Cu:38.7500,28.3250->39.1500,28.3250@0.150;F.Cu:39.1500,28.3250->40.0250,28.3250@0.300","Short top-copper Buck-2 VSYS input branch, widened at C3"
3,ACCEPT,PVSS1_INPUT_RETURN,PVSS1,U2.2,C2.2,F.Cu,4,0,0.25,2.8328,169,168,0,"F.Cu:37.6375,29.8500->38.2250,29.8500@0.150;F.Cu:38.2250,29.8500->39.0250,30.6500@0.150;F.Cu:39.0250,30.6500->39.7500,30.6500@0.250;F.Cu:39.7500,30.6500->40.0250,30.9250@0.250",Config-4-compatible Buck-1 return escape to the rotated C2 end
4,ACCEPT,PVSS2_INPUT_RETURN,PVSS2,U2.6,C3.2,F.Cu,4,0,0.25,2.8328,168,167,0,"F.Cu:37.6375,27.8500->38.2250,27.8500@0.150;F.Cu:38.2250,27.8500->39.0250,27.0500@0.150;F.Cu:39.0250,27.0500->39.7500,27.0500@0.250;F.Cu:39.7500,27.0500->40.0250,26.7750@0.250",Config-4-compatible Buck-2 return escape to the rotated C3 end
5,ACCEPT,SW1_REFERENCE_PATH,SW1,U2.3,L1.2,F.Cu,5,0,0.3,4.8813,167,166,0,"F.Cu:37.6375,29.3500->38.2250,29.3500@0.300;F.Cu:38.2250,29.3500->39.0250,30.1500@0.300;F.Cu:39.0250,30.1500->41.4400,30.1500@0.300;F.Cu:41.4400,30.1500->41.8500,29.7400@0.300;F.Cu:41.8500,29.7400->41.9000,29.9000@0.300",All-F.Cu transformed Config-4 Buck-1 switch path
6,ACCEPT,SW2_REFERENCE_PATH,SW2,U2.5,L2.2,F.Cu,4,0,0.3,4.3708,166,165,0,"F.Cu:37.6375,28.3500->38.2250,28.3500@0.300;F.Cu:38.2250,28.3500->39.0250,27.5500@0.300;F.Cu:39.0250,27.5500->41.5150,27.5500@0.300;F.Cu:41.5150,27.5500->41.6750,27.5750@0.300",All-F.Cu transformed Config-4 Buck-2 switch path
7,ACCEPT,PVSS1_C2_TO_C14,PVSS1,C2.2,C14.2,F.Cu,2,0,0.25,1.0081,165,164,0,"F.Cu:40.0250,30.9250->40.1050,31.0050@0.250;F.Cu:40.1050,31.0050->40.1050,31.9000@0.250",Buck-1 high-frequency return join
8,ACCEPT,PVSS1_C14_TO_C7,PVSS1,C14.2,C7.2,F.Cu,1,0,0.25,1.0653,164,163,0,"F.Cu:40.1050,31.9000->39.9250,32.9500@0.250",Buck-1 output-cap return island
9,ACCEPT,PVSS1_TO_NETTIE,PVSS1,C7.2,NT1.1,F.Cu+B.Cu,5,2,0.25,4.9513,163,162,0,"F.Cu:39.9250,32.9500->39.3500,32.9500@0.200;B.Cu:39.3500,32.9500->40.0000,33.6000@0.250;B.Cu:40.0000,33.6000->42.1500,33.6000@0.250;B.Cu:42.1500,33.6000->42.6500,34.1000@0.250;F.Cu:42.6500,34.1000->42.6500,33.5000@0.200;VIA:39.3500,32.9500@0.45/0.20;VIA:42.6500,34.1000@0.45/0.20",Relocated NT1 forces one short B.Cu crossing; In1 remains GND
10,ACCEPT,PVSS2_C3_TO_C15,PVSS2,C3.2,C15.2,F.Cu,2,0,0.25,1.0081,162,161,0,"F.Cu:40.0250,26.7750->40.1050,26.6950@0.250;F.Cu:40.1050,26.6950->40.1050,25.8000@0.250",Buck-2 high-frequency return join
11,ACCEPT,PVSS2_C15_TO_C8,PVSS2,C15.2,C8.2,F.Cu,2,0,0.25,1.0950,161,160,0,"F.Cu:40.1050,25.8000->41.1500,25.8000@0.250;F.Cu:41.1500,25.8000->41.1500,25.7500@0.250",Buck-2 output-cap return island
