sha256_short,bytes,modified,top_folder,path
e01179ad12e1,2016,2026-09-06,.gitattributes,".gitattributes"
37584a36d810,503,2026-09-06,.gitignore,".gitignore"
9642dd0c4b98,13987,2026-09-06,00_START_HERE,"00_START_HERE/CONTRADICTIONS.md"
d1215c5ad1fc,5082,2026-09-06,00_START_HERE,"00_START_HERE/GLOSSARY.md"
3b22c161e480,4865,2026-09-06,00_START_HERE,"00_START_HERE/HARDWARE_STATE.md"
245890c9cfba,5790,2026-09-06,00_START_HERE,"00_START_HERE/PROVENANCE.md"
489604168754,2477,2026-09-06,00_START_HERE,"00_START_HERE/README.md"
c65bfb4ec634,577242,2026-09-06,01_CURRENT_TARGET_R1,"01_CURRENT_TARGET_R1/Anticipy_Full_Handoff_Guide.pdf"
afbb8d03f7a7,253740,2026-09-06,01_CURRENT_TARGET_R1,"01_CURRENT_TARGET_R1/Anticipy_Hardware_CAD_Brief_v1.pdf"
7a0918b91050,49342,2026-09-06,01_CURRENT_TARGET_R1,"01_CURRENT_TARGET_R1/Anticipy_Hardware_Development_Brief_2026-09-04.docx"
5b69344e9536,22611,2026-09-06,01_CURRENT_TARGET_R1,"01_CURRENT_TARGET_R1/Anticipy_Hardware_Development_Brief_2026-09-04.md"
b86dd3f8bcc6,10520,2026-09-06,01_CURRENT_TARGET_R1,"01_CURRENT_TARGET_R1/Anticipy_PROD_R1_Flux_Build_Brief.md"
ed826c472fcf,1882,2026-09-06,01_CURRENT_TARGET_R1,"01_CURRENT_TARGET_R1/HARDWARE_SYSTEM_MAP.md"
d6cbf8d243c0,1893,2026-09-06,01_CURRENT_TARGET_R1,"01_CURRENT_TARGET_R1/README.md"
615b5d257e6d,466,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/00_FOLDER_STATUS.md"
a4d512f9bf2f,4216,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/00_START_HERE.md"
f246fc79ff99,528384,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/01_FIRMWARE/HOLD_FOR_PHYSICAL_RELEASE_TEST_Anticipy_0.9.3_owner2_live_50mA.uf2"
2b2b92974950,308,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/01_FIRMWARE/SHA256SUMS.txt"
0abcfd7c83ff,178384,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/02_CAD_PRINT/PRINT_FULL_SHELL_body_exact_historical_geometry.stl"
cc34568c3069,144084,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/02_CAD_PRINT/PRINT_FULL_SHELL_hooked_face_exact_historical_geometry.stl"
d3151e419414,684,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/02_CAD_PRINT/battery_max_24x10x5p5_gauge.stl"
088a62c59b80,5484,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/02_CAD_PRINT/battery_safety_bridge.stl"
25ad5cbd26bc,103084,2026-09-06,02_PROTOTYPE_XIAO,"02_PROTOTYPE_XIAO/02_CAD_PRINT/body_drill_marking_jig.stl"
