Reference,Value,Manufacturer,MPN,Footprint,Populate,Procurement review
BT1,Jauch 350mAh min protected 1S LiPo,Jauch Quartz,LP561836JU+PCM+2 WIRES 50MM,Anticipy_E1_Release:BT1__WirePads_2_P1.27mm,EXTERNAL,External final assembly; see External_Assembly_BOM.csv
C1,1uF 16V X7R,TDK,C1608X7R1C105K080AC,Anticipy_E1_Release:C1__C_0603_1608Metric,YES,Released exact MPN
C10,10uF 25V X5R,Murata,GRM188R61E106MA73D,Anticipy_E1_Release:C10__C_0603_1608Metric,YES,Released exact MPN
C13,100nF 25V X5R,TDK,C0603X5R1E104K030BB,Anticipy_E1_Release:C13__C_0201_0603Metric,YES,Released exact MPN
C14,100nF 16V X7R,KEMET,C0402C104M4RACTU,Anticipy_E1_Release:C14__C_0402_1005Metric,YES,Released exact MPN
C15,100nF 16V X7R,KEMET,C0402C104M4RACTU,Anticipy_E1_Release:C15__C_0402_1005Metric,YES,Released exact MPN
C16,100nF 16V X7R,KEMET,C0402C104M4RACTU,Anticipy_E1_Release:C16__C_0402_1005Metric,YES,Released exact MPN
C17,100nF 16V X7R,TDK,C1005X7R1C104K050BC,Anticipy_E1_Release:C17__C_0402_1005Metric,YES,Released exact MPN
C18,1uF 16V X7R,TDK,C1608X7R1C105K080AC,Anticipy_E1_Release:C18__C_0603_1608Metric,YES,Released exact MPN
C19,100nF 16V X7R,TDK,C1005X7R1C104K050BC,Anticipy_E1_Release:C19__C_0402_1005Metric,YES,Released exact MPN
C2,10uF 25V X5R,Murata,GRM188R61E106MA73D,Anticipy_E1_Release:C2__C_0603_1608Metric,YES,Released exact MPN
C20,100nF 16V X7R,TDK,C1005X7R1C104K050BC,Anticipy_E1_Release:C20__C_0402_1005Metric,NO,Do not place
C22,100nF 16V X7R,TDK,C1005X7R1C104K050BC,Anticipy_E1_Release:C22__C_0402_1005Metric,YES,Released exact MPN
C23,47uF 6.3V X5R,Murata,GRM21BR60J476ME01L,Anticipy_E1_Release:C23__C_0805_2012Metric,YES,Released exact MPN
C25,10uF 6.3V X5R,Murata,GRM155R60J106ME15D,Anticipy_E1_Release:C25__C_0402_1005Metric,YES,Released exact MPN
C26,10uF 6.3V X5R,Murata,GRM155R60J106ME15D,Anticipy_E1_Release:C26__C_0402_1005Metric,YES,Released exact MPN
C3,10uF 25V X5R,Murata,GRM188R61E106MA73D,Anticipy_E1_Release:C3__C_0603_1608Metric,YES,Released exact MPN
C4,10uF 25V X5R,Murata,GRM188R61E106MA73D,Anticipy_E1_Release:C4__C_0603_1608Metric,YES,Released exact MPN
C5,1uF 16V X7R,TDK,C1608X7R1C105K080AC,Anticipy_E1_Release:C5__C_0603_1608Metric,YES,Released exact MPN
C6,2.2uF 16V X7R,Taiyo Yuden,EMK107BB7225KA-T,Anticipy_E1_Release:C6__C_0603_1608Metric,YES,Released exact MPN
C7,10uF 25V X5R,Murata,GRM188R61E106MA73D,Anticipy_E1_Release:C7__C_0603_1608Metric,YES,Released exact MPN
C8,10uF 25V X5R,Murata,GRM188R61E106MA73D,Anticipy_E1_Release:C8__C_0603_1608Metric,YES,Released exact MPN
C9,10uF 25V X5R,Murata,GRM188R61E106MA73D,Anticipy_E1_Release:C9__C_0603_1608Metric,YES,Released exact MPN
D1,1N4148WS-13-F,Diodes Incorporated,1N4148WS-13-F,Anticipy_E1_Release:D1__D_SOD-323,YES,Released exact MPN
D2,ESD441DPYR,Texas Instruments,ESD441DPYR,Anticipy_E1_Release:D2__TI_DPY0002A_X1SON,YES,Released exact MPN
J1,USB4500-03-1-A,GCT,USB4500-03-1-A,Anticipy_E1_Release:J1__USB_C_Receptacle_GCT_USB4500-03-1-A_MidMount,YES,Released exact MPN
L1,2.2uH,Samsung Electro-Mechanics,CIGT201610EH2R2MNE,Anticipy_E1_Release:L1__L_Murata_DFE201610P,YES,Released exact MPN
L2,2.2uH,Samsung Electro-Mechanics,CIGT201610EH2R2MNE,Anticipy_E1_Release:L2__L_Murata_DFE201610P,YES,Released exact MPN
LED1,APHB1608LVBDSEKJ3C,Kingbright,APHB1608LVBDSEKJ3C,Anticipy_E1_Release:LED1__LED_Kingbright_APHB1608LVBDSEKJ3C,YES,Released exact MPN
M1,VCLP1020B002L,Vybronics,VCLP1020B002L,Anticipy_E1_Release:M1__WirePads_2_P1.27mm,EXTERNAL,External final assembly; see External_Assembly_BOM.csv
MIC1,CMM-3424DT-26165-TR,Same Sky,CMM-3424DT-26165-TR,Anticipy_E1_Release:MIC1__SameSky_CMM-3424DT-26165-TR_TopPort_PDM,YES,Released exact MPN
MIC2,CMM-3424DT-26165-TR,Same Sky,CMM-3424DT-26165-TR,Anticipy_E1_Release:MIC2__SameSky_CMM-3424DT-26165-TR_TopPort_PDM,NO,Do not place
NT1,PVSS1-GND,Anticipy,NETTIE,Anticipy_E1_Release:NT1__NetTie_Nordic_Config4,NO,Do not place
NT2,PVSS2-GND,Anticipy,NETTIE,Anticipy_E1_Release:NT2__NetTie_Nordic_Config4,NO,Do not place
Q1,AO3400A,Alpha & Omega Semiconductor,AO3400A,Anticipy_E1_Release:Q1__SOT-23,YES,Released exact MPN
R1,10k 1%,Yageo,RC0201FR-0710KL,Anticipy_E1_Release:R1__R_0201_0603Metric,YES,Released exact MPN
R10,0R,Vishay Dale,CRCW02010000Z0ED,Anticipy_E1_Release:R10__R_0201_0603Metric,YES,Released exact MPN
R11,0R,Vishay Dale,CRCW02010000Z0ED,Anticipy_E1_Release:R11__R_0201_0603Metric,YES,Released exact MPN
R12,10k 1%,Yageo,RC0402FR-0710KL,Anticipy_E1_Release:R12__R_0402_1005Metric,YES,Released exact MPN
R13,10k 1%,Yageo,RC0402FR-0710KL,Anticipy_E1_Release:R13__R_0402_1005Metric,YES,Released exact MPN
R2,10k 1%,Yageo,RC0201FR-0710KL,Anticipy_E1_Release:R2__R_0201_0603Metric,YES,Released exact MPN
R3,150k 1%,Yageo,RC0201FR-07150KL,Anticipy_E1_Release:R3__R_0201_0603Metric,YES,Released exact MPN
R4,150k 1%,Yageo,RC0201FR-07150KL,Anticipy_E1_Release:R4__R_0201_0603Metric,YES,Released exact MPN
R5,100R 1%,Yageo,RC0402FR-07100RL,Anticipy_E1_Release:R5__R_0402_1005Metric,YES,Released exact MPN
R6,100k 1%,Yageo,RC0402FR-07100KL,Anticipy_E1_Release:R6__R_0402_1005Metric,YES,Released exact MPN
R7,10k 1%,Yageo,RC0402FR-0710KL,Anticipy_E1_Release:R7__R_0402_1005Metric,YES,Released exact MPN
R8,100R 1%,Yageo,RC0402FR-07100RL,Anticipy_E1_Release:R8__R_0402_1005Metric,YES,Released exact MPN
