reference,mpn,value,manufacturer,footprint,populate,description,datasheet,procurement_status,price_1,price_10,price_100,price_1000
U1,MDBT50Q-1MV2,MDBT50Q-1MV2,Raytac,Anticipy_E1_Release:U1__Raytac_MDBT50Q_R0B,True,Certified nRF52840 module; rotation 0 puts antenna at the top board edge,https://www.raytac.com/download/index.php?index_id=43,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
U2,NPM1300-QEAA-R,nPM1300,Nordic Semiconductor,Anticipy_E1_Release:U2__nPM1300_QFN32_Reference,True,BUCK2 boots 3V_MAIN at 3.0V; BUCK1 boots unloaded 2V5_AUX at 2.5V. LDSW1 input from 3V_MAIN in load-switch mode; charging disabled until approved pack configuration,https://docs.nordicsemi.com/bundle/ps_npm1300/,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
U4,TPD2EUSB30ADRTR,TPD2EUSB30ADRTR,Texas Instruments,Anticipy_E1_Release:U4__Texas_DRT-3_R0B,True,"USB 2.0 data-line ESD protection; DRT-3 pin 1 D+, pin 2 D-, pin 3 GND; 3.6 V recommended maximum on data lines; not sustained VBUS-to-data fault protection",https://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
U6,TPD2E2U06DCKR,TPD2E2U06DCKR,Texas Instruments,Anticipy_E1_Release:U6__TI_DCK_SC70_3_R0B,True,Connector-side 5.5-V CC1/CC2 shunt ESD protection; no series impedance,https://www.ti.com/lit/gpn/TPD2E2U06,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
U5,MX35LF4GE4AD-Z4I,MX35LF4GE4AD-Z4I,Macronix,Anticipy_E1_Release:U5__WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,True,Provisional 4-Gbit NAND on shared 3V_MAIN; selected to meet the storage-capacity target; NAND media driver and endurance qualification pending,https://www.macronix.com/Lists/Datasheet/Attachments/9047/MX35LF4GE4AD%2C%203V%2C%204Gb%2C%20v1.6.pdf,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
MIC1,CMM-3424DT-26165-TR,CMM-3424DT-26165-TR,Same Sky,Anticipy_E1_Release:MIC1__SameSky_CMM-3424DT-26165-TR_TopPort_PDM,True,Front-side top-port IP67 PDM microphone; SELECT low,https://www.sameskydevices.com/product/resource/cmm-3424dt-26165-tr.pdf,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
MIC2,CMM-3424DT-26165-TR,CMM-3424DT-26165-TR,Same Sky,Anticipy_E1_Release:MIC2__SameSky_CMM-3424DT-26165-TR_TopPort_PDM,False,"Front-side top-port IP67 PDM microphone; SELECT high; optional second microphone, DNP for baseline",https://www.sameskydevices.com/product/resource/cmm-3424dt-26165-tr.pdf,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
J1,USB4500-03-1-A,USB4500-03-1-A,GCT,Anticipy_E1_Release:J1__USB_C_Receptacle_GCT_USB4500-03-1-A_MidMount,True,0.8-mm mid-mount USB-C; 12 grouped contacts plus four plated shell stakes,https://gct.co/connector/usb4500,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
BT1,LP561836JU+PCM+2 WIRES 50MM,Jauch 350mAh min protected 1S LiPo,Jauch Quartz,Anticipy_E1_Release:BT1__WirePads_2_P1.27mm,HOLD,"External protected Jauch pack 246501; 350 mAh minimum, 370 mAh typical; max after-cycling envelope 38.5 x 18.5 x 6.0 mm plus 50 mm leads. Separate TH1 required; keep firmware charging disabled until pack-specific temperature and charge tests pass.",,EXTERNAL_FINAL_ASSEMBLY,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
SW1,B3U-1000P,B3U-1000P,Omron,Anticipy_E1_Release:SW1__SW_SPST_B3U-1000P,True,Hard reset / ship-hold button; intentionally not tied to MCU,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
LED1,APHB1608LVBDSEKJ3C,APHB1608LVBDSEKJ3C,Kingbright,Anticipy_E1_Release:LED1__LED_Kingbright_APHB1608LVBDSEKJ3C,True,Red/blue status LED on nPM1300 fixed 5-mA sinks; blue low-battery brightness is a first-article gate,https://www.kingbrightusa.com/images/catalog/SPEC/APHB1608LVBDSEKJ3C.pdf,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
Q1,AO3400A,AO3400A,Alpha & Omega Semiconductor,Anticipy_E1_Release:Q1__SOT-23,True,Low-side haptic MOSFET,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
D1,1N4148WS-13-F,1N4148WS-13-F,Diodes Incorporated,Anticipy_E1_Release:D1__D_SOD-323,True,Active-lifecycle haptic flyback diode; KiCad pad 1 is cathode,https://www.diodes.com/datasheet/download/1N4148WS.pdf,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
D2,ESD441DPYR,ESD441DPYR,Texas Instruments,Anticipy_E1_Release:D2__TI_DPY0002A_X1SON,True,Connector-side 5.5-V VBUS shunt ESD/surge protector; TI DPY0002A land pattern,https://www.ti.com/lit/gpn/ESD441,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
M1,VCLP1020B002L,VCLP1020B002L,Vybronics,Anticipy_E1_Release:M1__WirePads_2_P1.27mm,True,"10-mm coin haptic, hand soldered",,EXTERNAL_FINAL_ASSEMBLY,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
NT1,NETTIE,PVSS1-GND,Anticipy,Anticipy_E1_Release:NT1__NetTie_Nordic_Config4,False,Single-point buck-1 power-ground tie,,DNP,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
NT2,NETTIE,PVSS2-GND,Anticipy,Anticipy_E1_Release:NT2__NetTie_Nordic_Config4,False,Single-point buck-2 power-ground tie,,DNP,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
L1,CIGT201610EH2R2MNE,2.2uH,Samsung Electro-Mechanics,Anticipy_E1_Release:L1__L_Murata_DFE201610P,True,BUCK1 auxiliary 2.5V inductor; original local switching loop preserved,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
L2,CIGT201610EH2R2MNE,2.2uH,Samsung Electro-Mechanics,Anticipy_E1_Release:L2__L_Murata_DFE201610P,True,BUCK2 main 3.0V inductor; original local switching loop preserved,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R1,RC0201FR-0710KL,10k 1%,Yageo,Anticipy_E1_Release:R1__R_0201_0603Metric,True,I2C pull-up,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R2,RC0201FR-0710KL,10k 1%,Yageo,Anticipy_E1_Release:R2__R_0201_0603Metric,True,I2C pull-up,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R3,RC0201FR-07150KL,150k 1%,Yageo,Anticipy_E1_Release:R3__R_0201_0603Metric,True,BUCK1 starts at 2.5 V on unloaded 2V5_AUX; no MCU/NAND logic attached,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R4,RC0201FR-07150KL,150k 1%,Yageo,Anticipy_E1_Release:R4__R_0201_0603Metric,True,BUCK2 starts at 3.0 V on 3V_MAIN for MCU and NAND,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R5,RC0402FR-07100RL,100R 1%,Yageo,Anticipy_E1_Release:R5__R_0402_1005Metric,True,MOSFET gate resistor,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R6,RC0402FR-07100KL,100k 1%,Yageo,Anticipy_E1_Release:R6__R_0402_1005Metric,True,MOSFET gate pulldown,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R7,RC0402FR-0710KL,10k 1%,Yageo,Anticipy_E1_Release:R7__R_0402_1005Metric,True,NAND CS bias sized for 10uA maximum input leakage and 0.8*VCC VIH,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R8,RC0402FR-07100RL,100R 1%,Yageo,Anticipy_E1_Release:R8__R_0402_1005Metric,True,PDM source isolation,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R9,RC0402FR-07100RL,100R 1%,Yageo,Anticipy_E1_Release:R9__R_0402_1005Metric,False,"PDM source isolation; optional second microphone, DNP for baseline",,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R10,CRCW02010000Z0ED,0R,Vishay Dale,Anticipy_E1_Release:R10__R_0201_0603Metric,True,"USB tuning link, baseline 0 ohm: Nordic PHY already includes series termination. 27 ohm is an optional measured tuning variant only.",https://www.vishay.com/docs/20052/crcw0201e3.pdf,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R11,CRCW02010000Z0ED,0R,Vishay Dale,Anticipy_E1_Release:R11__R_0201_0603Metric,True,"USB tuning link, baseline 0 ohm: Nordic PHY already includes series termination. 27 ohm is an optional measured tuning variant only.",https://www.vishay.com/docs/20052/crcw0201e3.pdf,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C1,C1608X7R1C105K080AC,1uF 16V X7R,TDK,Anticipy_E1_Release:C1__C_0603_1608Metric,True,PMIC VBUS input,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C2,GRM188R61E106MA73D,10uF 25V X5R,Murata,Anticipy_E1_Release:C2__C_0603_1608Metric,True,Buck-1 PVDD local return,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C3,GRM188R61E106MA73D,10uF 25V X5R,Murata,Anticipy_E1_Release:C3__C_0603_1608Metric,True,Buck-2 PVDD local return,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C4,GRM188R61E106MA73D,10uF 25V X5R,Murata,Anticipy_E1_Release:C4__C_0603_1608Metric,True,System rail bulk,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C5,C1608X7R1C105K080AC,1uF 16V X7R,TDK,Anticipy_E1_Release:C5__C_0603_1608Metric,True,Protected USB output bypass,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C6,EMK107BB7225KA-T,2.2uF 16V X7R,Taiyo Yuden,Anticipy_E1_Release:C6__C_0603_1608Metric,True,Battery input bypass,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C7,GRM188R61E106MA73D,10uF 25V X5R,Murata,Anticipy_E1_Release:C7__C_0603_1608Metric,True,BUCK1 output capacitor on unloaded 2V5_AUX,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C8,GRM188R61E106MA73D,10uF 25V X5R,Murata,Anticipy_E1_Release:C8__C_0603_1608Metric,True,BUCK2 output capacitor on 3V_MAIN,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C9,GRM188R61E106MA73D,10uF 25V X5R,Murata,Anticipy_E1_Release:C9__C_0603_1608Metric,True,System rail second bulk,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C10,GRM188R61E106MA73D,10uF 25V X5R,Murata,Anticipy_E1_Release:C10__C_0603_1608Metric,True,Microphone LDO output,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C13,C0603X5R1E104K030BB,100nF 25V X5R,TDK,Anticipy_E1_Release:C13__C_0201_0603Metric,True,"PMIC VDDIO bypass on 3V_MAIN; 100 nF nominal, 25 V X5R, 0201; effective capacitance decreases with DC bias",https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C0603X5R1E104K030BB,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C14,C0402C104M4RACTU,100nF 16V X7R,KEMET,Anticipy_E1_Release:C14__C_0402_1005Metric,True,Buck-1 high-frequency input bypass; Nordic QEAA ref 1.2,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C15,C0402C104M4RACTU,100nF 16V X7R,KEMET,Anticipy_E1_Release:C15__C_0402_1005Metric,True,Buck-2 high-frequency input bypass; Nordic QEAA ref 1.2,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
