KiCad_X_mm,KiCad_Y_mm,Nominal_pre_fill_bore_mm,Copper_land_mm,Net,UUID,Required_finish
36.95,31.5,0.2,0.45,/3V_MAIN,1250acd4-6118-45f2-b43f-d29edd0a644a,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
36.9485,25.27,0.2,0.45,/3V_MAIN,16446815-e2e3-4985-88b2-48b6609662d5,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
35.75,34.65,0.2,0.45,/3V_MAIN,55415419-86f1-467e-8e0a-408e439b0924,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
34.2624,32.4572,0.2,0.45,/3V_MAIN,7a766f4e-3ba1-485b-9dc2-37d02f05e837,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
53.0403,37.0726,0.2,0.45,/3V_MAIN,dba84046-6cc1-41a2-8387-0efb7db4222a,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
61.25,37.4,0.2,0.45,/3V_MAIN,e676c3a2-bb61-4ef2-b08d-80ee24dc6580,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
62.8395,29.4932,0.2,0.45,/FLASH_IO3,1506efb0-4e9d-49a2-ae7b-5176d1aad7c0,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
51.6623,34.0458,0.2,0.45,/FLASH_IO3,67eff72b-beb7-4fa8-9af7-542765b88331,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
50.2531,27.818,0.2,0.45,/FLASH_IO3,f86db73c-880f-4de9-80f6-b2126e2e96b1,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
25.75,23.45,0.2,0.45,/GND,08507688-e1c2-40eb-bd21-53d94d8daae6,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
56.175,36.0,0.2,0.45,/GND,0900c243-fa82-4621-9c33-da08a442aac8,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
30.0262,33.1103,0.2,0.45,/GND,21d2b946-b2e4-4ab8-849f-1ea1e853b853,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
