Ref,Val,Package,PosX,PosY,Rot,Side
"C25","10uF 6.3V X5R","C25__C_0402_1005Metric",58.500000,-38.000000,180.000000,bottom
"R10","0R","R10__R_0201_0603Metric",63.300000,-34.600000,0.000000,bottom
"R11","0R","R11__R_0201_0603Metric",63.300000,-35.400000,0.000000,bottom
"C1","1uF 16V X7R","C1__C_0603_1608Metric",29.500000,-30.025000,-90.000000,top
"C2","10uF 25V X5R","C2__C_0603_1608Metric",40.025000,-30.150000,-90.000000,top
"C3","10uF 25V X5R","C3__C_0603_1608Metric",40.025000,-27.550000,90.000000,top
"C4","10uF 25V X5R","C4__C_0603_1608Metric",29.500000,-27.400000,90.000000,top
"C5","1uF 16V X7R","C5__C_0603_1608Metric",30.700000,-30.650000,-90.000000,top
"C6","2.2uF 16V X7R","C6__C_0603_1608Metric",30.175000,-25.500000,180.000000,top
"C7","10uF 25V X5R","C7__C_0603_1608Metric",40.700000,-32.950000,180.000000,top
"C8","10uF 25V X5R","C8__C_0603_1608Metric",41.925000,-25.750000,180.000000,top
"C9","10uF 25V X5R","C9__C_0603_1608Metric",33.400000,-34.100000,-90.000000,top
"C10","10uF 25V X5R","C10__C_0603_1608Metric",34.600000,-34.100000,-90.000000,top
"C13","100nF 25V X5R","C13__C_0201_0603Metric",35.800000,-24.600000,90.000000,top
"C14","100nF 16V X7R","C14__C_0402_1005Metric",39.625000,-31.900000,0.000000,top
"C15","100nF 16V X7R","C15__C_0402_1005Metric",39.625000,-25.800000,0.000000,top
"C16","100nF 16V X7R","C16__C_0402_1005Metric",30.750000,-27.675000,90.000000,top
"C17","100nF 16V X7R","C17__C_0402_1005Metric",53.250000,-31.250000,90.000000,top
"C18","1uF 16V X7R","C18__C_0603_1608Metric",53.300000,-28.800000,90.000000,top
"C19","100nF 16V X7R","C19__C_0402_1005Metric",45.300000,-26.800000,0.000000,top
"C22","100nF 16V X7R","C22__C_0402_1005Metric",40.000000,-36.800000,0.000000,top
"C23","47uF 6.3V X5R","C23__C_0805_2012Metric",37.300000,-36.800000,0.000000,top
"C26","10uF 6.3V X5R","C26__C_0402_1005Metric",63.500000,-38.000000,0.000000,top
"D1","1N4148WS-13-F","D1__D_SOD-323",42.350000,-35.000000,0.000000,top
"D2","ESD441DPYR","D2__TI_DPY0002A_X1SON",28.400000,-32.750000,0.000000,top
"J1","USB4500-03-1-A","J1__USB_C_Receptacle_GCT_USB4500-03-1-A_MidMount",20.000000,-30.000000,90.000000,top
"L1","2.2uH","L1__L_Murata_DFE201610P",41.900000,-30.625000,90.000000,top
"L2","2.2uH","L2__L_Murata_DFE201610P",42.400000,-27.575000,180.000000,top
"LED1","APHB1608LVBDSEKJ3C","LED1__LED_Kingbright_APHB1608LVBDSEKJ3C",34.000000,-36.700000,0.000000,top
"MIC1","CMM-3424DT-26165-TR","MIC1__SameSky_CMM-3424DT-26165-TR_TopPort_PDM",46.300000,-23.900000,0.000000,top
"Q1","AO3400A","Q1__SOT-23",45.950000,-36.500000,180.000000,top
"R1","10k 1%","R1__R_0201_0603Metric",34.400000,-24.600000,90.000000,top
"R2","10k 1%","R2__R_0201_0603Metric",35.000000,-24.600000,90.000000,top
"R3","150k 1%","R3__R_0201_0603Metric",32.500000,-24.600000,90.000000,top
"R4","150k 1%","R4__R_0201_0603Metric",33.100000,-24.600000,90.000000,top
"R5","100R 1%","R5__R_0402_1005Metric",48.900000,-35.000000,0.000000,top
"R6","100k 1%","R6__R_0402_1005Metric",48.900000,-36.300000,0.000000,top
"R7","10k 1%","R7__R_0402_1005Metric",53.250000,-33.150000,90.000000,top
"R8","100R 1%","R8__R_0402_1005Metric",47.300000,-26.800000,0.000000,top
"R12","10k 1%","R12__R_0402_1005Metric",51.150000,-36.400000,0.000000,top
"R13","10k 1%","R13__R_0402_1005Metric",53.200000,-36.400000,0.000000,top
"SW1","B3U-1000P","SW1__SW_SPST_B3U-1000P",30.000000,-36.300000,0.000000,top
"U1","MDBT50Q-1MV2","U1__Raytac_MDBT50Q_R0B",59.750000,-29.500000,0.000000,top
"U2","nPM1300","U2__nPM1300_QFN32_Reference",35.200000,-28.600000,180.000000,top
"U4","TPD2EUSB30ADRTR","U4__Texas_DRT-3_R0B",28.150000,-29.450000,-90.000000,top
"U5","MX35LF4GE4AD-Z4I","U5__WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm",48.200000,-30.700000,0.000000,top
"U6","TPD2E2U06DCKR","U6__TI_DCK_SC70_3_R0B",28.900000,-23.100000,0.000000,top
