net,unique_pads,track_segments,vias,total_track_mm,min_track_width_mm,max_track_width_mm,F.Cu_mm,In1.Cu_mm,In2.Cu_mm,B.Cu_mm,F.Cu_without_adjacent_GND_mm,In1.Cu_without_adjacent_GND_mm,In2.Cu_without_adjacent_GND_mm,B.Cu_without_adjacent_GND_mm
2V5_AUX,4,13,1,19.6,0.2,0.4,10.839,0,0,8.761,2.909,0,0,2.987
3V_MAIN,22,146,6,81.521,0.127,0.4,53.905,18.548,0,9.068,9.382,7.025,0,5.188
3V_MIC,8,48,5,42.79,0.127,0.3,16.563,10.96,12.551,2.715,7.408,9.722,2.129,0.684
FLASH_CS,3,24,5,30.152,0.127,0.15,7.496,16.25,0,6.406,2.321,8.881,0,2.679
FLASH_IO0,2,7,2,16.382,0.15,0.15,1.404,0,14.978,0,0.705,0,1.929,0
FLASH_IO1,2,12,2,23.662,0.15,0.15,2.045,0,21.617,0,0.734,0,1.644,0
FLASH_IO2,3,11,2,26.387,0.127,0.15,17.986,0,8.401,0,5.44,0,2.76,0
FLASH_IO3,3,10,3,26.97,0.15,0.15,6.878,6.812,13.28,0,2.019,1.883,2.391,0
FLASH_SCK,2,6,2,14.31,0.15,0.15,2.08,0,12.231,0,0.733,0,1.822,0
GND,51,167,38,63.974,0.127,0.25,40.221,0,0,23.752,7.106,0,0,8.106
HAPTIC_GATE,3,4,0,3.701,0.15,0.15,3.701,0,0,0,0.434,0,0,0
HAPTIC_NEG,4,10,1,16.216,0.225,0.3,7.626,0,0,8.59,2.434,0,0,8.072
HAPTIC_PWM,2,7,2,17.675,0.15,0.15,5.697,0,11.978,0,1.253,0,10.254,0
I2C_SCL,3,14,2,37.947,0.15,0.15,8.928,29.019,0,0,1.436,6.344,0,0
I2C_SDA,3,40,5,35.032,0.127,0.15,9.729,15.904,2.174,7.224,3.294,5.251,0.715,1.818
LED_BLUE_K,2,18,2,6.422,0.15,0.15,1.054,0,0,5.369,0.72,0,0,0.705
LED_RED_K,2,14,0,8.055,0.127,0.15,8.055,0,0,0,2.072,0,0,0
NTC,2,88,2,26.128,0.127,0.127,0.6,0,14.307,11.221,0.352,0,1.791,3.66
PDM_CLK,3,14,2,26.801,0.127,0.15,10.653,16.148,0,0,4.255,7.029,0,0
PDM_DATA,3,11,2,22.649,0.15,0.15,15.351,7.298,0,0,6.188,5.96,0,0
PDM_DATA_MIC1,2,7,0,3.47,0.127,0.15,3.47,0,0,0,0.0,0,0,0
PDM_DATA_MIC2,2,7,0,3.37,0.127,0.15,3.37,0,0,0,0.713,0,0,0
PMIC_INT,3,22,6,48.073,0.127,0.15,4.15,27.666,9.742,6.515,1.667,14.039,1.278,2.681
PVSS1,5,11,0,5.498,0.127,0.15,5.498,0,0,0,1.26,0,0,0
PVSS2,5,12,0,5.889,0.127,0.15,5.889,0,0,0,0.0,0,0,0
RESET,2,43,4,36.269,0.127,0.15,9.038,3.468,11.893,11.871,3.562,2.546,6.798,1.564
SHPHLD_BTN,2,15,2,23.136,0.127,0.15,5.902,0,0,17.233,2.206,0,0,6.242
SW1,2,5,0,4.881,0.3,0.3,4.881,0,0,0,1.421,0,0,0
SW2,2,4,0,4.371,0.3,0.3,4.371,0,0,0,0.038,0,0,0
SWDCLK,2,69,2,51.271,0.15,0.15,0.394,0,49.476,1.4,0.366,0,17.039,0.353
SWDIO,2,21,4,50.023,0.127,0.15,3.747,18.529,17.623,10.125,0.759,9.49,2.644,1.872
UART_RX,2,70,4,40.883,0.127,0.15,7.731,13.498,0,19.654,2.549,8.2,0,3.344
UART_TX,2,21,3,34.585,0.127,0.15,6.001,0,23.402,5.182,3.04,0,5.808,1.059
USB_CC1,3,18,2,21.646,0.127,0.15,11.251,10.395,0,0,5.102,6.815,0,0
USB_CC2,3,12,2,17.283,0.127,0.15,9.043,8.24,0,0,2.468,4.091,0,0
USB_D+,4,15,2,41.079,0.127,0.135,1.877,0,0,39.202,1.757,0,0,2.285
USB_D-,4,19,2,44.255,0.127,0.135,3.581,0,4.24,36.434,2.394,0,2.612,1.015
USB_MCU_D+,2,2,1,1.903,0.135,0.135,0.55,0,0,1.353,0.353,0,0,0.354
USB_MCU_D-,2,2,1,1.895,0.135,0.135,0.55,0,0,1.345,0.353,0,0,0.355
VBAT,4,91,2,51.972,0.15,0.25,6.811,0,0,45.161,3.154,0,0,21.043
VBUS,6,56,5,31.322,0.15,0.3,12.027,14.767,3.646,0.883,4.364,8.775,1.142,0.353
VBUSOUT,5,56,6,45.074,0.127,0.3,5.231,6.732,31.083,2.029,3.277,5.381,9.291,0.352
VSET1,2,2,0,2.034,0.15,0.15,2.034,0,0,0,0.0,0,0,0
VSET2,2,3,0,1.375,0.15,0.15,1.375,0,0,0,0.0,0,0,0
VSYS,12,63,5,57.015,0.15,0.3,27.896,24.012,0,5.107,7.509,13.958,0,2.765
