"Category","Part / material","Exact MPN or dimensional specification","References","Per pendant","Required for 20 pendants","Two PCBA spares","Total required","Recorded purchased quantity","Delivery evidence","Usable quantity at assembler","Buy if recorded inventory is accepted","Maximum buy if none accepted","Action","Supplier / source","Source URL","Observed stock","Stock checked UTC","Notes"
"SMT","10k 1%","RC0402FR-0710KL","R13 R7 R12","3","60","6","66","0","No matching purchase receipt found","Unverified","66","66","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/yageo/RC0402FR-0710KL/729470","12854598","2026-09-09T13:57:28.000Z",""
"SMT","100k 1%","RC0402FR-07100KL","R6","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526","8088185","2026-09-09T13:57:29.000Z",""
"SMT","10uF 25V X5R","GRM188R61E106MA73D","C7 C8 C2 C4 C3 C10 C9","7","140","14","154","0","No matching purchase receipt found","Unverified","154","154","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/murata-electronics/GRM188R61E106MA73D/3900497","299202","2026-09-09T13:58:21.000Z","Selected MPN is already incorporated into the immutable 78fe release; earlier original-MPN rows are superseded."
"SMT","2.2uF 16V X7R","EMK107BB7225KA-T","C6","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/taiyo-yuden/EMK107BB7225KA-T/4970646","171421","2026-09-09T13:57:31.000Z",""
"SMT","TPD2EUSB30ADRTR","TPD2EUSB30ADRTR","U4","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/texas-instruments/TPD2EUSB30ADRTR/2520830","80460","2026-09-09T13:58:44.000Z","Selected MPN is already incorporated into the immutable 78fe release; earlier original-MPN rows are superseded."
"SMT","2.2uH","CIGT201610EH2R2MNE","L1 L2","2","40","4","44","0","No matching purchase receipt found","Unverified","44","44","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CIGT201610EH2R2MNE/7041223","178231","2026-09-09T13:57:32.000Z",""
"SMT","MDBT50Q-1MV2","MDBT50Q-1MV2","U1","1","20","2","22","25","Package delivered BC Sep 3; contents not counted","Unverified","0","22","Count and consign first; buy only shortage","DigiKey Marketplace / Raytac","https://www.digikey.com/en/products/detail/raytac/MDBT50Q-1MV2/13677591","14","2026-09-09T13:57:33.000Z","14 stock; approximately 14 days to dispatch from Raytac; separate $25 shipping fee. This listing cannot replace a 20-module kit for Saturday. 25 invoiced pieces in carrier-delivered BC package; physical usable count and Boston/assembler receipt unverified. Count and transport before any credit against a kit. Exact antenna variant required. Marketplace stock 14 and about 14-day dispatch cannot supply 22 on Saturday. Locate/count 25 purchased modules before rebuy."
"SMT","10k 1%","RC0201FR-0710KL","R2 R1","2","40","4","44","0","No matching purchase receipt found","Unverified","44","44","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/yageo/RC0201FR-0710KL/1948870","6044695","2026-09-09T13:57:34.000Z",""
"SMT","APHB1608LVBDSEKJ3C","APHB1608LVBDSEKJ3C","LED1","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/kingbright/APHB1608LVBDSEKJ3C/5803645","17539","2026-09-09T13:57:46.000Z",""
"SMT","B3U-1000P","B3U-1000P","SW1","1","20","2","22","20","Package delivered West Vancouver Sep 1; contents not counted","Unverified","2","22","Count and consign first; buy only shortage","DigiKey US","https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3U-1000P/1859107","119580","2026-09-09T13:57:48.000Z","20 invoiced pieces in carrier-delivered BC package; physical usable count and Boston/assembler receipt unverified. Count and transport before any credit against a kit. 20 invoice quantity exactly covers fitted 20 only; optional 2 would be a new purchase if the 20 are all located and usable. Existing 20 cover customer units; buy 2 for the two extra PCB assemblies after count."
